('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.389, 'Y : ', 0.838)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 9.599, 'Y : ', 6.761)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 3.258, 'Y : ', -2.841)




('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 4.363, 'Y : ', 1.42)




('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 8.617, 'Y : ', -4.175)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -0.803, 'Y : ', 1.166)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 4.363, 'Y : ', 1.42)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 8.617, 'Y : ', -4.175)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -0.803, 'Y : ', 1.166)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.467, 'Y : ', -7.324)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -2.118, 'Y : ', 2.842)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 4.363, 'Y : ', 1.42)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -6.569, 'Y : ', 2.952)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -2.347, 'Y : ', -1.583)






('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -6.569, 'Y : ', 2.952)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -3.545, 'Y : ', -2.924)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -7.255, 'Y : ', 1.712)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -2.347, 'Y : ', -1.583)


('Kalman MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -6.569, 'Y : ', 2.952)
('Kalman MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -2.347, 'Y : ', -1.583)
('Kalman MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -7.255, 'Y : ', 1.712)
('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -3.545, 'Y : ', -2.924)
('Kalman MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -3.253, 'Y : ', 0.899)


('Kalman MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 2.608, 'Y : ', -10.027)




