('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 6.2, 'Y : ', -91.287)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 1.085, 'Y : ', -93.211)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 4.726, 'Y : ', -6.071)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -0.033, 'Y : ', -45.08)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -3.031, 'Y : ', -40.683)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 2.072, 'Y : ', -7.507)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 2.072, 'Y : ', -44.59)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 1.662, 'Y : ', -4.909)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 4.343, 'Y : ', -0.25)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 7.776, 'Y : ', -13.964)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 2.229, 'Y : ', -13.361)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 0.882, 'Y : ', -19.492)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.404, 'Y : ', -6.624)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.756, 'Y : ', 1.455)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 0.585, 'Y : ', 1.455)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 0.686, 'Y : ', 1.704)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.668, 'Y : ', -17.43)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 6.5, 'Y : ', -14.888)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 8.968, 'Y : ', -264.435)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 22.833, 'Y : ', -284.77)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 2.772, 'Y : ', -0.25)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 19.151, 'Y : ', 1.154)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 16.492, 'Y : ', -210.173)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 8.704, 'Y : ', -4.392)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 17.192, 'Y : ', -29.443)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -1.602, 'Y : ', 5.055)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 4.921, 'Y : ', -26.663)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -4.225, 'Y : ', 12.638)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -3.749, 'Y : ', 11.941)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -13.105, 'Y : ', 21.76)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -4.682, 'Y : ', -0.074)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -14.473, 'Y : ', 19.425)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -7.073, 'Y : ', -1.696)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -6.49, 'Y : ', 9.1)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 5.204, 'Y : ', -34.985)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 33.859, 'Y : ', -119.753)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 46.12, 'Y : ', -137.736)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -1.484, 'Y : ', 6.206)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 44.186, 'Y : ', 0.636)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 30.189, 'Y : ', -43.055)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 4.471, 'Y : ', -13.557)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 16.331, 'Y : ', -48.692)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.081, 'Y : ', -0.638)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 3.064, 'Y : ', -4.337)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 7.667, 'Y : ', -7.027)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 1.868, 'Y : ', -26.009)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', -4.961, 'Y : ', -8.306)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -4.961, 'Y : ', -88.68)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 1.218, 'Y : ', 10.496)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 9.159, 'Y : ', -30.025)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 1.884, 'Y : ', -20.603)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 1.11, 'Y : ', -21.305)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 14.189, 'Y : ', -101.078)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 2.535, 'Y : ', -95.769)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.646, 'Y : ', -9.953)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -4.61, 'Y : ', 6.981)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 8.696, 'Y : ', -33.834)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 17.814, 'Y : ', -36.658)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 13.8, 'Y : ', 2.518)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 25.845, 'Y : ', -6.026)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 22.261, 'Y : ', 8.184)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 16.474, 'Y : ', -8.961)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 15.654, 'Y : ', 5.652)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 5.813, 'Y : ', -6.57)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 6.346, 'Y : ', -19.411)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.991, 'Y : ', -3.83)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -2.633, 'Y : ', 5.258)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 1.458, 'Y : ', -86.552)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 9.06, 'Y : ', -14.867)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 10.655, 'Y : ', 0.342)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 10.655, 'Y : ', -16.359)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.029, 'Y : ', -16.243)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 1.552, 'Y : ', -4.568)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', 1.313, 'Y : ', -3.859)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -1.673, 'Y : ', -18.42)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', -5.037, 'Y : ', -5.958)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 0.216, 'Y : ', -0.773)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -0.607, 'Y : ', 4.92)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', 2.189, 'Y : ', 4.92)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -0.989, 'Y : ', -0.565)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 0.922, 'Y : ', -5.245)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 12.302, 'Y : ', -8.525)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', 12.946, 'Y : ', 3.387)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', 17.431, 'Y : ', -14.504)
('MacAddr : ', 'c2:01:18:00:00:da', 'X : ', -0.766, 'Y : ', 6.23)
('MacAddr : ', 'c2:01:18:00:00:b3', 'X : ', 11.138, 'Y : ', -11.869)
('MacAddr : ', '2f:06:34:25:83:b2', 'X : ', 13.113, 'Y : ', -97.665)
('MacAddr : ', 'c2:01:18:00:00:cd', 'X : ', -2.254, 'Y : ', -8.354)
('MacAddr : ', '4d:f5:a7:22:69:10', 'X : ', -1.439, 'Y : ', 6.14)
('MacAddr : ', '6d:51:45:4a:f5:36', 'X : ', -2.146, 'Y : ', 7.177)
